provider_ccn,hospital_name,state_code,city,fiscal_year_begin_date,fiscal_year_end_date,number_of_beds,total_costs,inpatient_total_charges,combined_outpatient_inpatient_total_charges,inpatient_revenue,total_patient_revenue,net_patient_revenue,less_total_operating_expense,net_income_from_service_to_patients
110130,IRWIN COUNTY HOSPITAL,GA,OCILLA,12/01/2022,01/31/2023,34.0,2463462.0,1892400.0,5773515.0,1892400.0,6290464.0,1557790.0,3033643.0,-1475853.0
144042,LAKE BEHAVIORAL HOSPITAL,IL,WAUKEGAN,10/01/2022,12/31/2022,161.0,8111462.0,22372700.0,23333319.0,24175458.0,25136077.0,9784298.0,8585822.0,1198476.0
43036,EVEREST REHABILITATION HOSPITAL BENT,AR,ROGERS,01/01/2023,02/28/2023,36.0,2795440.0,2948357.0,2982529.0,2948358.0,2982531.0,1450453.0,2447938.0,-997485.0
454155,OCEANS BEHAVIORAL HOSPITAL CORPUS CH,TX,CORPUS CHRISTI,11/17/2022,12/31/2022,42.0,1965696.0,1703505.0,1703505.0,1703505.0,1703505.0,1261761.0,3445228.0,-2183467.0
144043,MONTROSE BEHAVIORAL HEALTH HOSPITAL,IL,CHICAGO,10/03/2022,12/31/2022,,,,,,,,,
421303,WILLIAMSBURG REGIONAL HOSPITAL,SC,KINGSTREE,10/01/2022,01/16/2023,25.0,7503553.0,3388938.0,13594441.0,3416074.0,15611116.0,5422988.0,8676352.0,-3253364.0
83028,PAM REHAB HOSP OF GEORGETOWN,DE,GEORGETOWN,01/27/2023,04/30/2023,34.0,3683530.0,5484225.0,5735240.0,5484225.0,5735240.0,4011155.0,3855107.0,156048.0
30077,SAN CARLOS APACHE HEALTHCARE CORP,AZ,PERIDOT,10/01/2022,01/09/2023,12.0,22963832.0,6762.0,216023.0,,,,33070576.0,-33070576.0
313030,BACHARACH INSTITUTE FOR REHABILITATI,NJ,POMONA,01/01/2023,03/30/2023,80.0,8333525.0,2665845.0,8469305.0,2665845.0,8469305.0,2744837.0,8364045.0,-5619208.0
673073,EVEREST REHABILITATION HOSPITAL LONG,TX,LONGVIEW,01/01/2023,02/28/2023,36.0,3293256.0,4969922.0,5071213.0,4969923.0,5071214.0,2411560.0,3026991.0,-615431.0
262017,SSH - SPRINGFIELD INC.,MO,SPRINGFIELD,11/01/2022,01/31/2023,44.0,6600654.0,37283793.0,37283793.0,37283792.0,37283792.0,6493196.0,6624999.0,-131803.0
30153,EAST VALLEY ER AND HOSPITAL,AZ,GILBERT,10/14/2022,01/31/2023,14.0,3575513.0,6682868.0,19198646.0,6682868.0,19198646.0,1699864.0,5141619.0,-3441755.0
360090,ST. LUKES HOSPITAL,OH,MAUMEE,10/01/2022,05/08/2023,83.0,91146379.0,88687607.0,226568542.0,103907833.0,228994422.0,62879043.0,110897542.0,-48018499.0
450697,SOUTHWEST GENERAL HOSPITAL,TX,SAN ANTONIO,10/01/2022,04/30/2023,193.0,53955049.0,247659162.0,366562378.0,247717244.0,366620459.0,66113127.0,81435922.0,-15322795.0
673074,EVEREST REHABILITATION HOSPITAL TEMP,TX,TEMPLE,01/01/2023,02/28/2023,36.0,3586473.0,4223424.0,4283768.0,4223425.0,4283769.0,2422521.0,2871010.0,-448489.0
523030,REHABILITATION HOSPITAL OF WESTERN W,WI,EAU CLAIRE,03/29/2023,06/30/2023,36.0,3162377.0,3537573.0,3537573.0,3537566.0,3537566.0,2003440.0,3524215.0,-1520775.0
363045,EVEREST REHABILITATION HOSPITAL NORT,OH,LIBERTY TOWNSHIP,01/01/2023,02/28/2023,36.0,3399352.0,1707395.0,1707395.0,1707394.0,1707394.0,798666.0,2126725.0,-1328059.0
230110,COREWELL HEALTH LUDINGTON HOSPITAL,MI,LUDINGTON,01/01/2023,06/30/2023,39.0,48386897.0,25738666.0,144664137.0,25263841.0,145618053.0,53406311.0,54443893.0,-1037582.0
110028,UNIVERSITY HEALTH SERVICES  INC.,GA,AUGUSTA,01/01/2023,06/30/2023,482.0,229843283.0,545702379.0,921120225.0,495776808.0,921120220.0,220118681.0,252777987.0,-32659306.0
230078,LAKELAND COMMUNITY HOSP WATERVLIET,MI,WATERVLIET,01/01/2023,06/30/2023,26.0,20840565.0,11700512.0,64459217.0,11700511.0,69288973.0,23738356.0,22778597.0,959759.0
230093,COREWELL HEALTH BIG RAPIDS,MI,BIG RAPIDS,01/01/2023,06/30/2023,49.0,36025807.0,21973147.0,120302645.0,20614479.0,123779532.0,43815822.0,41205541.0,2610281.0
340051,WATAUGA MEDICAL CENTER,NC,BOONE,10/01/2022,06/30/2023,121.0,116331469.0,102586509.0,404982072.0,102586430.0,404982068.0,131671678.0,144274142.0,-12602464.0
341323,CHARLES A. CANNON MEMORIAL HOSPITAL,NC,LINVILLE,10/01/2022,06/30/2023,23.0,16859911.0,5615564.0,41055261.0,5994211.0,43266178.0,15969403.0,19835241.0,-3865838.0
444032,EAST TENNESSEE BEHAVIORAL HEALTH,TN,KNOXVILLE,11/15/2022,06/30/2023,90.0,12599548.0,14612499.0,14639499.0,14793921.0,14820921.0,4498551.0,13113409.0,-8614858.0
530034,SUMMIT MEDICAL CENTER  LLC,WY,CASPER,01/01/2023,06/30/2023,16.0,14105393.0,2743996.0,38239776.0,2743996.0,38239777.0,14237491.0,14210136.0,27355.0
230003,COREWELL HEALTH ZEELAND,MI,ZEELAND,01/01/2023,06/30/2023,55.0,34814901.0,29777752.0,141433350.0,28127666.0,141441601.0,49604814.0,43320722.0,6284092.0
330163,EASTERN NIAGARA HOSPITAL,NY,LOCKPORT,01/01/2023,06/17/2023,109.0,14210210.0,4618355.0,33984068.0,4620856.0,33984067.0,9156862.0,16591069.0,-7434207.0
30010,CARONDELET ST. MARYS HOSPITAL,AZ,TUCSON,10/01/2022,06/30/2023,357.0,132972625.0,1138288311.0,1672772115.0,965324114.0,1439880368.0,138586064.0,147359468.0,-8773404.0
30011,CARONDELET ST. JOSEPH HOSPITAL,AZ,TUCSON,10/01/2022,06/30/2023,390.0,176656637.0,1345134428.0,2063708988.0,1345134428.0,2063708988.0,214872409.0,202906452.0,11965957.0
230230,EDWARD W. SPARROW HOSPITAL,MI,LANSING,01/01/2023,06/30/2023,441.0,404300127.0,762648870.0,1716183444.0,795431967.0,1865312481.0,502650273.0,560468586.0,-57818313.0
230208,CARSON CITY HOSPITAL,MI,CARSON CITY,01/01/2023,06/30/2023,48.0,21691082.0,5086302.0,63217305.0,5115270.0,67296328.0,21966923.0,25391051.0,-3424128.0
390339,LANCASTER MEDICAL CENTER,PA,LANCASTER,12/06/2022,06/30/2023,100.0,103337856.0,115453461.0,251951018.0,121435887.0,258116153.0,64356763.0,105533965.0,-41177202.0
460003,SALT LAKE REGIONAL MEDICAL CENTER,UT,SALT LAKE CITY,05/01/2023,06/30/2023,102.0,22062966.0,22198832.0,48351769.0,22198290.0,48351772.0,17293885.0,16016236.0,1277649.0
140167,IROQUOIS MEMORIAL HOSPITAL,IL,WATSEKA,10/01/2022,07/16/2023,25.0,24397798.0,8559359.0,60119957.0,6813088.0,64377732.0,25392275.0,29050249.0,-3657974.0
500148,WENATCHEE VALLEY HOSPITAL,WA,WENATCHEE,01/01/2023,06/30/2023,11.0,96010562.0,9430932.0,198681754.0,9112289.0,331463085.0,146849318.0,145187643.0,1661675.0
250172,DELTA HEALTH-HIGHLAND HILLS,MS,SENATOBIA,10/01/2022,04/30/2023,15.0,6044508.0,1581176.0,18139969.0,1491176.0,19910471.0,4969569.0,7179163.0,-2209594.0
344034,DOROTHEA DIX BEHAVIORAL HEALTH,NC,LINVILLE,10/01/2022,06/30/2023,37.0,7308599.0,10362125.0,10432320.0,11632869.0,11713470.0,2011199.0,7895371.0,-5884172.0
510012,PLEASANT VALLEY HOSPITAL,WV,POINT PLEASANT,10/01/2022,09/30/2023,43.0,51918032.0,25316181.0,161022905.0,27174198.0,159426958.0,42704455.0,59446602.0,-16742147.0
364067,BLUESTONE CHILD AND ADOLESCENT PSYCH,OH,UNIVERSITY HEIGHTS,01/27/2023,06/30/2023,,,,,,,,,
53045,SACRAMENTO REHABILITATION HOSPITAL L,CA,SACRAMENTO,03/25/2023,04/30/2023,50.0,1961751.0,1060419.0,1060419.0,1060419.0,1060419.0,1013427.0,1877128.0,-863701.0
250163,PATIENTS CHOICE MED CNT-SMITH CNTY,MS,RALEIGH,01/01/2023,07/02/2023,19.0,758432.0,115259.0,115259.0,115259.0,115259.0,99466.0,896444.0,-796978.0
33045,REUNION REHABILITATION HOSPITAL PEOR,AZ,PEORIA,04/15/2023,07/31/2023,40.0,3218445.0,4249355.0,4249355.0,4249355.0,4249355.0,1954373.0,3395824.0,-1441451.0
250043,NESHOBA COUNTY GENERAL HOSPITAL,MS,PHILADELPHIA,10/01/2022,09/30/2023,38.0,47390359.0,23147342.0,89118448.0,27582599.0,97229987.0,49696328.0,53762594.0,-4066266.0
50660,USC NORRIS CANCER HOSPITAL,CA,LOS ANGELES,10/01/2022,09/30/2023,60.0,474961345.0,314626322.0,1824806079.0,314642923.0,1825427255.0,523064492.0,451535205.0,71529287.0
14012,MARY S HARPER GERIATRIC PSYCH CEN,AL,TUSCALOOSA,10/01/2022,09/30/2023,126.0,33629149.0,26742317.0,26754082.0,26742317.0,26754082.0,26754082.0,28434668.0,-1680586.0
110161,NORTHSIDE HOSPITAL,GA,ATLANTA,10/01/2022,09/30/2023,673.0,1988302389.0,2879376189.0,10156640408.0,2905907225.0,11225076832.0,2794552358.0,3042378132.0,-247825774.0
130025,MADISON MEMORIAL HOSPITAL,ID,REXBURG,10/01/2022,09/30/2023,53.0,80739247.0,51696875.0,183306545.0,56659846.0,202460814.0,97998560.0,96252693.0,1745867.0
370030,BLACKWELL REGIONAL HOSPITAL,OK,BLACKWELL,01/01/2023,06/30/2023,34.0,7016745.0,3477900.0,30399657.0,3477900.0,30399657.0,3523301.0,4813715.0,-1290414.0
523031,GREEN BAY REHABILITATION HOSPITAL,WI,GREEN BAY,05/05/2023,07/31/2023,40.0,3210785.0,2597332.0,2597332.0,2597332.0,2597332.0,1802679.0,3176457.0,-1373778.0
370139,PERRY MEMORIAL HOSPITAL,OK,PERRY,01/01/2023,03/31/2023,26.0,2770339.0,859704.0,7994253.0,963904.0,7994253.0,1308648.0,2292296.0,-983648.0
10051,GREENE COUNTY HOSPITAL,AL,EUTAW,10/01/2022,09/30/2023,20.0,11171269.0,8009496.0,12012326.0,5948024.0,10012455.0,10012454.0,12099826.0,-2087372.0
250018,JASPER GENERAL HOSPITAL,MS,BAY SPRINGS,10/01/2022,09/30/2023,20.0,16554477.0,11084106.0,19106383.0,11776247.0,19797939.0,15501238.0,17884644.0,-2383406.0
110111,UNIVERSITY HOSPITAL MCDUFFIE,GA,THOMSON,01/01/2023,06/30/2023,25.0,12073865.0,9687416.0,54770348.0,10846667.0,54770447.0,15137104.0,12355781.0,2781323.0
420072,HAMPTON REGIONAL MEDICAL CENTER,SC,VARNVILLE,10/01/2022,09/30/2023,32.0,25481056.0,11834478.0,75740757.0,12038825.0,81719581.0,27692299.0,29648849.0,-1956550.0
373038,OKLAHOMA CITY REHABILITATION HOSPITA,OK,OKLAHOMA CITY,11/29/2022,08/31/2023,40.0,10046589.0,19988211.0,19988211.0,19998903.0,19998903.0,10711441.0,10535492.0,175949.0
140052,OSF SAINT ANTHONYS HEALTH CENTER,IL,ALTON,10/01/2022,09/30/2023,49.0,83727304.0,86325810.0,418776842.0,86341709.0,420016397.0,94685101.0,99055598.0,-4370497.0
373037,TULSA REHABILITATION HOSPITAL,OK,TULSA,10/18/2022,08/31/2023,40.0,12979224.0,26281633.0,26281633.0,26281633.0,26281633.0,12801077.0,13711769.0,-910692.0
420067,BEAUFORT MEMORIAL HOSPITAL,SC,BEAUFORT,10/01/2022,09/30/2023,167.0,208001086.0,262366264.0,924317893.0,249738764.0,1046671129.0,288344612.0,303218068.0,-14873456.0
450085,GRAHAM REGIONAL MEDICAL CENTER,TX,GRAHAM,10/01/2022,08/03/2023,25.0,18447928.0,3871849.0,61704020.0,3871849.0,61941354.0,17624607.0,22180980.0,-4556373.0
31313,CARONDELET HOLY CROSS HOSPITAL,AZ,NOGALES,10/01/2022,06/30/2023,25.0,18571392.0,41103579.0,193602492.0,41103579.0,193602492.0,26564303.0,23397399.0,3166904.0
